Publisher,Year,Global_Sales
Nintendo,2006.0,205.60999999999999
Nintendo,2009.0,128.89000000000001
Nintendo,2005.0,127.47
Nintendo,2007.0,104.17999999999999
Nintendo,2008.0,91.22
Electronic Arts,2009.0,86.2
Electronic Arts,2008.0,84.12
Electronic Arts,2010.0,81.38
Activision,2009.0,78.06
Nintendo,1996.0,73.7
Electronic Arts,2002.0,73.01
Electronic Arts,2011.0,72.25
Electronic Arts,2007.0,71.33
Electronic Arts,2003.0,69.83
Activision,2008.0,67.41
Electronic Arts,2004.0,67.33
Electronic Arts,2005.0,67.01
Nintendo,1999.0,65.33
Nintendo,1989.0,63.88
Activision,2007.0,63.57
Activision,2010.0,63.39
Nintendo,2010.0,61.07
Nintendo,2004.0,60.65
Electronic Arts,2006.0,58.410000000000004
Ubisoft,2008.0,57.44
Nintendo,2012.0,56.47
Activision,2012.0,53.25
Electronic Arts,2013.0,52.92
Nintendo,2013.0,52.79
Take-Two Interactive,2013.0,52.41
Activision,2011.0,51.74
Nintendo,2011.0,51.53
Nintendo,1985.0,49.95
Electronic Arts,2012.0,49.9
Microsoft Game Studios,2010.0,49.160000000000004
Nintendo,2014.0,48.65
Ubisoft,2007.0,48.6
Nintendo,1998.0,48.410000000000004
Nintendo,2002.0,48.31
Ubisoft,2011.0,48.03
Ubisoft,2009.0,47.01
Electronic Arts,2014.0,46.8
Take-Two Interactive,2008.0,46.18
Nintendo,1984.0,45.559999999999995
Electronic Arts,2015.0,45.42
Nintendo,2001.0,45.37
Electronic Arts,2001.0,45.12
Activision,2014.0,44.48
Sony Computer Entertainment,1997.0,43.9
Activision,2013.0,43.49
Sony Computer Entertainment,2001.0,43.29
Ubisoft,2010.0,42.62
Ubisoft,2014.0,41.95
Activision,2004.0,39.230000000000004
Nintendo,2003.0,38.14
Nintendo,1992.0,38.11
Sony Computer Entertainment,2007.0,37.54
Ubisoft,2012.0,37.31
Sega,2008.0,37.19
Sony Computer Entertainment,2009.0,36.53
Nintendo,1988.0,36.44
Sony Computer Entertainment,1999.0,36.24
Take-Two Interactive,2010.0,35.839999999999996
Activision,2015.0,35.63
Nintendo,1990.0,35.49
Activision,2005.0,35.39
Sony Computer Entertainment,2004.0,35.160000000000004
Sony Computer Entertainment,1996.0,35.07
Sony Computer Entertainment,2010.0,34.89
Sony Computer Entertainment,1998.0,34.64
Nintendo,2000.0,34.05
Sony Computer Entertainment,2006.0,33.81
THQ,2007.0,33.29
THQ,2009.0,30.83
THQ,2008.0,30.45
Take-Two Interactive,2014.0,30.26
Electronic Arts,1998.0,29.95
THQ,2003.0,29.38
THQ,2004.0,28.69
Konami Digital Entertainment,2008.0,27.82
Sony Computer Entertainment,2011.0,27.4
Ubisoft,2013.0,27.39
Nintendo,2015.0,27.080000000000002
THQ,2002.0,26.88
THQ,2011.0,26.76
Sony Computer Entertainment,2008.0,26.64
Sony Computer Entertainment,2005.0,26.38
Take-Two Interactive,2005.0,26.29
Microsoft Game Studios,2007.0,26.1
Activision,2002.0,25.94
Sony Computer Entertainment,2002.0,25.85
Nintendo,1997.0,25.8
Electronic Arts,2000.0,25.13
Bethesda Softworks,2011.0,25.09
Nintendo,1994.0,24.990000000000002
THQ,2006.0,24.94
Sega,2009.0,24.919999999999998
Sony Computer Entertainment,2003.0,24.32
Take-Two Interactive,2004.0,24.11
Sega,2007.0,23.69
Electronic Arts,1997.0,22.94
Sega,2010.0,22.89
THQ,2001.0,22.25
THQ,2005.0,22.23
THQ,2010.0,22.11
Disney Interactive Studios,2008.0,22.09
Namco Bandai Games,2011.0,22.08
Konami Digital Entertainment,2001.0,21.89
Warner Bros. Interactive Entertainment,2015.0,21.740000000000002
Sony Computer Entertainment,2000.0,21.69
Take-Two Interactive,2012.0,21.58
Activision,2003.0,21.38
Microsoft Game Studios,2011.0,21.28
Atari,2002.0,21.25
Take-Two Interactive,2006.0,20.59
Disney Interactive Studios,2010.0,20.5
Take-Two Interactive,2001.0,20.43
Warner Bros. Interactive Entertainment,2013.0,20.36
Take-Two Interactive,2002.0,20.29
Konami Digital Entertainment,2004.0,20.2
Electronic Arts,1999.0,20.15
Nintendo,1993.0,20.04
Warner Bros. Interactive Entertainment,2011.0,20.04
Take-Two Interactive,2007.0,19.81
Capcom,2009.0,19.470000000000002
Atari,1982.0,19.43
Take-Two Interactive,2009.0,19.11
Sony Computer Entertainment,2014.0,19.02
LucasArts,2007.0,18.7
Activision,2001.0,18.59
Konami Digital Entertainment,2010.0,18.55
Sony Computer Entertainment,1995.0,18.45
Warner Bros. Interactive Entertainment,2014.0,18.42
Take-Two Interactive,2011.0,18.03
Square Enix,2010.0,17.44
Activision,2006.0,17.4
Ubisoft,2006.0,17.27
Konami Digital Entertainment,2007.0,17.21
Atari,2003.0,17.04
Ubisoft,2003.0,16.89
Disney Interactive Studios,2007.0,16.84
Sega,2011.0,16.79
Namco Bandai Games,2009.0,16.77
Nintendo,1995.0,16.72
Ubisoft,2005.0,16.49
Bethesda Softworks,2015.0,16.44
Namco Bandai Games,2010.0,16.41
Microsoft Game Studios,2013.0,16.39
Square Enix,2007.0,16.3
Ubisoft,2002.0,16.21
Nintendo,1986.0,16.18
Konami Digital Entertainment,2009.0,16.09
Nintendo,1991.0,15.97
Namco Bandai Games,2012.0,15.93
THQ,2000.0,15.86
Sega,2006.0,15.81
LucasArts,2008.0,15.79
Microsoft Game Studios,2009.0,15.61
Warner Bros. Interactive Entertainment,2010.0,15.57
Namco Bandai Games,2015.0,15.56
Vivendi Games,2003.0,15.43
Ubisoft,2004.0,15.4
Konami Digital Entertainment,1998.0,15.39
Microsoft Game Studios,2012.0,15.33
Microsoft Game Studios,2008.0,15.309999999999999
Konami Digital Entertainment,1999.0,15.26
Take-Two Interactive,2015.0,15.03
Konami Digital Entertainment,2005.0,14.92
Virgin Interactive,1996.0,14.83
Namco Bandai Games,2005.0,14.790000000000001
Capcom,2012.0,14.68
Konami Digital Entertainment,2006.0,14.6
Activision,2000.0,14.48
Capcom,2010.0,14.38
Warner Bros. Interactive Entertainment,2012.0,14.33
505 Games,2010.0,14.26
Warner Bros. Interactive Entertainment,2009.0,14.22
Konami Digital Entertainment,2003.0,13.97
Square Enix,2013.0,13.86
Acclaim Entertainment,1998.0,13.709999999999999
Microsoft Game Studios,2004.0,13.68
Eidos Interactive,1997.0,13.55
SquareSoft,1999.0,13.52
Microsoft Game Studios,2001.0,13.49
Square Enix,2006.0,13.43
Capcom,2008.0,13.32
Disney Interactive Studios,2009.0,13.290000000000001
Capcom,2005.0,13.27
THQ,1998.0,13.17
Disney Interactive Studios,2011.0,13.09
Namco Bandai Games,2002.0,12.98
Sony Computer Entertainment,2012.0,12.85
Ubisoft,2015.0,12.79
Sony Computer Entertainment,2013.0,12.61
Sega,2003.0,12.53
Square Enix,2011.0,12.459999999999999
Konami Digital Entertainment,2002.0,12.42
Capcom,1992.0,12.399999999999999
Sega,2002.0,12.3
Electronic Arts,2016.0,12.25
Nintendo,1987.0,11.95
Sega,2004.0,11.93
Warner Bros. Interactive Entertainment,2008.0,11.72
Namco Bandai Games,2006.0,11.7
Eidos Interactive,1999.0,11.64
Sega,2005.0,11.59
Atari,2004.0,11.55
Capcom,2006.0,11.4
Bethesda Softworks,2008.0,11.39
Atari,2007.0,11.370000000000001
Sony Computer Entertainment,2015.0,11.01
Nintendo,1983.0,10.96
Eidos Interactive,2009.0,10.91
Namco Bandai Games,2008.0,10.9
Square Enix,2009.0,10.83
Take-Two Interactive,2003.0,10.57
Sony Computer Entertainment Europe,2013.0,10.52
Namco Bandai Games,2003.0,10.46
505 Games,2007.0,10.43
Square Enix,2012.0,10.37
Square Enix,2014.0,10.35
Microsoft Game Studios,2014.0,10.31
Konami Digital Entertainment,2011.0,10.04
Square Enix,2008.0,10.03
Microsoft Game Studios,2006.0,9.98
Namco Bandai Games,2013.0,9.959999999999999
Microsoft Game Studios,2015.0,9.95
Capcom,2007.0,9.92
LucasArts,2005.0,9.87
Capcom,2002.0,9.85
Ubisoft,2016.0,9.76
Namco Bandai Games,2000.0,9.7
Acclaim Entertainment,2001.0,9.69
Namco Bandai Games,2014.0,9.64
Midway Games,2008.0,9.28
Sega,2012.0,9.23
Capcom,2003.0,9.13
Microsoft Game Studios,2003.0,8.92
Square Enix,2015.0,8.86
Universal Interactive,2002.0,8.75
Atari,2008.0,8.69
Bethesda Softworks,2014.0,8.68
Virgin Interactive,1998.0,8.67
Activision,1981.0,8.5
Konami Digital Entertainment,2000.0,8.47
Infogrames,2002.0,8.459999999999999
Atari,1981.0,8.45
Codemasters,2009.0,8.43
Bethesda Softworks,2010.0,8.41
Atari,2005.0,8.38
Atari,1980.0,8.36
Midway Games,2002.0,8.34
Midway Games,2004.0,8.22
Square Enix,2004.0,8.14
Midway Games,2007.0,8.1
Atari,2001.0,8.049999999999999
Eidos Interactive,2005.0,7.999999999999999
Sega,1992.0,7.98
Konami Digital Entertainment,2012.0,7.97
Capcom,2001.0,7.95
Sega,1995.0,7.93
Electronic Arts,1996.0,7.9
Namco Bandai Games,2001.0,7.88
Acclaim Entertainment,2002.0,7.75
LucasArts,2011.0,7.7299999999999995
Eidos Interactive,1998.0,7.68
Capcom,2013.0,7.63
Namco Bandai Games,2007.0,7.59
505 Games,2009.0,7.57
Activision,1999.0,7.569999999999999
989 Studios,1998.0,7.54
Activision,1998.0,7.54
Sega,1994.0,7.53
505 Games,2006.0,7.49
Capcom,2011.0,7.470000000000001
LucasArts,2006.0,7.4399999999999995
Disney Interactive Studios,2013.0,7.09
GT Interactive,1999.0,7.06
Microsoft Game Studios,2002.0,6.96
MTV Games,2009.0,6.95
Eidos Interactive,2002.0,6.88
Capcom,2004.0,6.86
Konami Digital Entertainment,2015.0,6.859999999999999
Virgin Interactive,1994.0,6.81
Vivendi Games,2004.0,6.76
Square Enix,2005.0,6.71
THQ,2012.0,6.7
SquareSoft,1998.0,6.69
SquareSoft,1997.0,6.680000000000001
Deep Silver,2011.0,6.640000000000001
MTV Games,2010.0,6.63
Sega,2001.0,6.6000000000000005
Sony Computer Entertainment Europe,2014.0,6.6
Sony Computer Entertainment,2016.0,6.5600000000000005
SquareSoft,2000.0,6.55
Eidos Interactive,2007.0,6.5
Namco Bandai Games,2016.0,6.49
GT Interactive,1997.0,6.41
Hasbro Interactive,1997.0,6.38
Namco Bandai Games,1997.0,6.34
D3Publisher,2007.0,6.31
Vivendi Games,2005.0,6.22
Eidos Interactive,2003.0,6.07
Take-Two Interactive,2000.0,6.03
Deep Silver,2013.0,6.03
Universal Interactive,2001.0,5.92
Eidos Interactive,1996.0,5.89
Namco Bandai Games,1998.0,5.86
GT Interactive,1998.0,5.78
Acclaim Entertainment,1994.0,5.74
Disney Interactive Studios,2006.0,5.74
GT Interactive,1996.0,5.71
Microsoft Game Studios,2005.0,5.6899999999999995
Capcom,2015.0,5.64
Sega,2014.0,5.64
Acclaim Entertainment,2000.0,5.59
Midway Games,1998.0,5.58
Tecmo Koei,2007.0,5.58
Codemasters,1998.0,5.58
Global Star,2004.0,5.53
Midway Games,2006.0,5.5
Namco Bandai Games,2004.0,5.49
Eidos Interactive,2008.0,5.48
Take-Two Interactive,1998.0,5.45
Namco Bandai Games,1993.0,5.38
Konami Digital Entertainment,2013.0,5.37
Enix Corporation,2000.0,5.359999999999999
Codemasters,2011.0,5.34
Vivendi Games,2008.0,5.33
Vivendi Games,2007.0,5.33
Capcom,1986.0,5.3
Namco Bandai Games,1986.0,5.28
989 Studios,1999.0,5.26
Sega,2013.0,5.26
Midway Games,2005.0,5.1899999999999995
Midway Games,2001.0,5.18
Microsoft Game Studios,1996.0,5.12
RedOctane,2006.0,5.12
SquareSoft,1995.0,5.1
MTV Games,2008.0,5.07
Konami Digital Entertainment,2014.0,5.0600000000000005
Konami Digital Entertainment,1986.0,4.99
Ubisoft,2001.0,4.99
Namco Bandai Games,1999.0,4.94
Bethesda Softworks,2012.0,4.9
Rising Star Games,2007.0,4.88
Capcom,1993.0,4.85
Imagic,1981.0,4.82
Atari,2000.0,4.8100000000000005
Unknown,2011.0,4.79
Ubisoft,2000.0,4.75
Arena Entertainment,1992.0,4.72
Acclaim Entertainment,2003.0,4.66
Hudson Soft,1986.0,4.66
Ubisoft,1999.0,4.61
Konami Digital Entertainment,1997.0,4.6
Sega,1998.0,4.59
Vivendi Games,2006.0,4.58
Virgin Interactive,2001.0,4.57
D3Publisher,2010.0,4.5600000000000005
Eidos Interactive,2000.0,4.56
Disney Interactive Studios,2005.0,4.55
Atari,2009.0,4.51
Midway Games,2003.0,4.51
Acclaim Entertainment,1997.0,4.49
Rising Star Games,2008.0,4.42
Eidos Interactive,2006.0,4.38
Sega,1999.0,4.36
Vivendi Games,2002.0,4.3500000000000005
Sega,1991.0,4.34
Atari,2006.0,4.33
Sega,1996.0,4.29
Disney Interactive Studios,2014.0,4.22
Activision,1995.0,4.21
Midway Games,2000.0,4.2
Tecmo Koei,2003.0,4.18
Palcom,1989.0,4.17
3DO,1999.0,4.140000000000001
Vivendi Games,1997.0,4.13
LucasArts,2009.0,4.09
Tecmo Koei,2008.0,4.08
LucasArts,2010.0,4.08
THQ,1999.0,4.01
Fox Interactive,1997.0,4.0
Vivendi Games,2001.0,3.94
LucasArts,2004.0,3.9299999999999997
Capcom,1990.0,3.92
Sega,2000.0,3.8800000000000003
Konami Digital Entertainment,1996.0,3.88
Enix Corporation,1988.0,3.87
Acclaim Entertainment,1999.0,3.83
D3Publisher,2009.0,3.81
Capcom,1998.0,3.74
SquareSoft,1994.0,3.7399999999999998
Activision,2016.0,3.67
Midway Games,1999.0,3.65
Tecmo Koei,2006.0,3.63
Square Enix,2016.0,3.5300000000000002
Warner Bros. Interactive Entertainment,2016.0,3.52
Namco Bandai Games,1996.0,3.49
Mindscape,2009.0,3.4899999999999998
TDK Mediactive,2002.0,3.48
Nippon Ichi Software,2013.0,3.47
Nintendo,2016.0,3.4699999999999998
Codemasters,2008.0,3.45
Sony Computer Entertainment,1994.0,3.43
Majesco Entertainment,2009.0,3.43
Namco Bandai Games,1984.0,3.4299999999999997
SquareSoft,1992.0,3.42
Atari,1983.0,3.39
Parker Bros.,1981.0,3.35
Majesco Entertainment,2011.0,3.33
Electronic Arts,1995.0,3.33
Enix Corporation,1995.0,3.32
ASCII Entertainment,1997.0,3.32
505 Games,2011.0,3.3000000000000003
Activision Value,2009.0,3.29
Tecmo Koei,2005.0,3.28
Capcom,1997.0,3.28
Disney Interactive Studios,2004.0,3.2600000000000002
Acclaim Entertainment,1996.0,3.23
Tecmo Koei,2011.0,3.21
Zoo Digital Publishing,2005.0,3.19
Hasbro Interactive,1998.0,3.18
Sony Computer Entertainment Europe,2001.0,3.17
Enix Corporation,1990.0,3.12
3DO,2000.0,3.08
Codemasters,2007.0,3.0700000000000003
Hudson Soft,1994.0,3.05
Tecmo Koei,2014.0,3.04
Ubisoft,1995.0,3.03
Activision,1980.0,3.02
Koch Media,2008.0,3.01
Atlus,2012.0,3.01
SquareSoft,1993.0,3.0
Eidos Interactive,2004.0,3.0
LucasArts,1999.0,2.95
Capcom,1988.0,2.94
Universal Interactive,2003.0,2.93
Zoo Digital Publishing,2004.0,2.92
Enix Corporation,2001.0,2.91
Deep Silver,2008.0,2.91
Take-Two Interactive,2016.0,2.89
Mojang,2015.0,2.89
BAM! Entertainment,2002.0,2.88
ASCII Entertainment,1996.0,2.87
Valve Software,2011.0,2.8600000000000003
Disney Interactive Studios,2012.0,2.84
Rising Star Games,2009.0,2.81
Red Orb,1994.0,2.81
Codemasters,2012.0,2.81
Nippon Ichi Software,2014.0,2.8
Coleco,1981.0,2.79
Konami Digital Entertainment,1995.0,2.79
Enix Corporation,1992.0,2.79
505 Games,2008.0,2.77
TDK Mediactive,2003.0,2.75
Take-Two Interactive,1997.0,2.7199999999999998
Level 5,2014.0,2.68
Tecmo Koei,2013.0,2.67
Namco Bandai Games,1987.0,2.67
Codemasters,2010.0,2.64
Sega,1990.0,2.6
LucasArts,2001.0,2.58
Enix Corporation,1987.0,2.56
Konami Digital Entertainment,1991.0,2.56
Deep Silver,2009.0,2.5500000000000003
Activision,1997.0,2.55
Virgin Interactive,2000.0,2.55
Majesco Entertainment,2004.0,2.54
Mattel Interactive,1981.0,2.53
Namco Bandai Games,1995.0,2.52
Tecmo Koei,2004.0,2.5
Enix Corporation,1999.0,2.49
JVC,1996.0,2.4899999999999998
Disney Interactive Studios,2015.0,2.48
Acclaim Entertainment,1995.0,2.46
RedOctane,2005.0,2.4499999999999997
Crave Entertainment,2000.0,2.44
Red Orb,1997.0,2.43
Zoo Games,2009.0,2.43
Tecmo Koei,2012.0,2.43
Namco Bandai Games,1988.0,2.4299999999999997
Tecmo Koei,2010.0,2.42
Play It,2004.0,2.42
Square Enix,2003.0,2.42
Empire Interactive,2003.0,2.41
Hasbro Interactive,1994.0,2.39
Codemasters,2003.0,2.39
Codemasters,1997.0,2.38
505 Games,2012.0,2.34
Psygnosis,1996.0,2.32
505 Games,2013.0,2.31
Level 5,2015.0,2.3099999999999996
Atari,1999.0,2.3
NCSoft,2012.0,2.3
Tecmo Koei,2002.0,2.3
Virgin Interactive,1997.0,2.2800000000000002
Red Storm Entertainment,1999.0,2.28
Tecmo Koei,2015.0,2.2600000000000002
Zoo Digital Publishing,2003.0,2.26
UEP Systems,1997.0,2.25
Bethesda Softworks,2016.0,2.25
Unknown,2001.0,2.25
Mindscape,2007.0,2.24
Capcom,1991.0,2.23
Konami Digital Entertainment,1990.0,2.23
Eidos Interactive,2001.0,2.21
LucasArts,2003.0,2.19
LucasArts,2002.0,2.16
Sega,1997.0,2.14
Maxis,1992.0,2.14
SquareSoft,2003.0,2.13
Capcom,2016.0,2.12
Infogrames,2001.0,2.12
Activision,1994.0,2.08
Focus Home Interactive,2014.0,2.05
Tecmo Koei,2009.0,2.04
D3Publisher,2008.0,2.03
Global Star,2005.0,2.03
Capcom,2000.0,2.02
Deep Silver,2010.0,2.0100000000000002
SouthPeak Games,2009.0,1.97
Activision,1996.0,1.9500000000000002
LucasArts,1994.0,1.95
Disney Interactive Studios,1999.0,1.94
Level 5,2010.0,1.94
Compile,1997.0,1.94
Activision,1983.0,1.94
Acclaim Entertainment,1993.0,1.93
Focus Home Interactive,2012.0,1.93
Empire Interactive,2004.0,1.93
Telltale Games,2014.0,1.93
Sega,1993.0,1.93
Spike,2007.0,1.92
THQ,1997.0,1.9
D3Publisher,2011.0,1.8900000000000001
Deep Silver,2014.0,1.8900000000000001
Destineer,2009.0,1.8900000000000001
Tecmo Koei,2000.0,1.87
City Interactive,2010.0,1.8699999999999999
Activision,1982.0,1.86
Hudson Soft,1997.0,1.86
ASCII Entertainment,1999.0,1.8399999999999999
Level 5,2016.0,1.82
Hudson Soft,2009.0,1.8199999999999998
Unknown,2010.0,1.8
Oxygen Interactive,2006.0,1.8
Nippon Ichi Software,2011.0,1.79
Enix Corporation,1996.0,1.79
Level 5,2012.0,1.78
Codemasters,2002.0,1.78
Square,1991.0,1.77
Hasbro Interactive,1999.0,1.75
505 Games,2014.0,1.74
Valve,2011.0,1.74
Tecmo Koei,1997.0,1.73
Psygnosis,1997.0,1.73
Namco Bandai Games,1994.0,1.72
Codemasters,2013.0,1.71
Konami Digital Entertainment,1994.0,1.71
Sony Computer Entertainment Europe,2004.0,1.71
Banpresto,1993.0,1.7
Psygnosis,1995.0,1.69
Take-Two Interactive,1999.0,1.68
Capcom,1989.0,1.67
Infogrames,2000.0,1.66
GungHo,2013.0,1.66
Nobilis,2008.0,1.65
Ocean,1997.0,1.65
Enix Corporation,2004.0,1.65
Avanquest Software,2012.0,1.6400000000000001
Sony Computer Entertainment Europe,2015.0,1.64
Hello Games,2016.0,1.6
Video System,1998.0,1.6
GSP,2009.0,1.6
Codemasters,2001.0,1.59
Banpresto,2007.0,1.59
Mastertronic,2011.0,1.5799999999999998
Gotham Games,2002.0,1.57
Virgin Interactive,1995.0,1.56
Westwood Studios,1999.0,1.55
Sega,2015.0,1.55
Rondomedia,2009.0,1.54
Destineer,2008.0,1.54
Gotham Games,2003.0,1.54
Fox Interactive,1996.0,1.54
Game Factory,2007.0,1.53
Game Factory,2008.0,1.53
SCi,2003.0,1.52
Atlus,2008.0,1.5
Ignition Entertainment,2008.0,1.48
Nippon Ichi Software,2015.0,1.47
Namco Bandai Games,1985.0,1.46
Rising Star Games,2006.0,1.46
Atari,1998.0,1.46
Activision Value,2008.0,1.46
Zoo Digital Publishing,2008.0,1.45
3DO,2001.0,1.45
Banpresto,2001.0,1.45
Koch Media,2015.0,1.45
Touchstone,2008.0,1.44
Atari,2010.0,1.43
Ubisoft Annecy,2009.0,1.43
Microsoft Game Studios,2016.0,1.42
Midway Games,1997.0,1.41
SquareSoft,1990.0,1.4
Warner Bros. Interactive Entertainment,2007.0,1.4
Slightly Mad Studios,2015.0,1.3800000000000001
D3Publisher,2006.0,1.37
Majesco Entertainment,2008.0,1.37
Empire Interactive,2002.0,1.3599999999999999
20th Century Fox Video Games,1981.0,1.35
Enix Corporation,2002.0,1.35
Tomy Corporation,2003.0,1.34
Capcom,1996.0,1.34
System 3 Arcade Software,2008.0,1.33
TDK Mediactive,2004.0,1.33
Hasbro Interactive,2000.0,1.33
Crave Entertainment,2011.0,1.33
Rising Star Games,2011.0,1.32
Banpresto,2005.0,1.32
Bethesda Softworks,2002.0,1.31
GSP,2008.0,1.31
Banpresto,2003.0,1.31
ASC Games,1996.0,1.31
Accolade,1997.0,1.3
Bethesda Softworks,2009.0,1.29
Agetec,2002.0,1.29
D3Publisher,2013.0,1.29
Sony Online Entertainment,2004.0,1.28
Zushi Games,2009.0,1.28
Virgin Interactive,1999.0,1.28
Rage Software,2002.0,1.28
505 Games,2005.0,1.27
RTL,2007.0,1.26
Empire Interactive,2008.0,1.26
Natsume,1996.0,1.25
ASCII Entertainment,1995.0,1.25
Alchemist,2006.0,1.24
Nippon Ichi Software,2009.0,1.24
Nordic Games,2009.0,1.24
Ubisoft Annecy,2011.0,1.23
Maxis,1996.0,1.22
Hudson Soft,2010.0,1.22
Fox Interactive,1999.0,1.22
BAM! Entertainment,2001.0,1.21
SquareSoft,1996.0,1.21
Konami Digital Entertainment,2016.0,1.21
SouthPeak Games,2004.0,1.2
Black Bean Games,2010.0,1.2
Black Label Games,2002.0,1.2
Crave Entertainment,2004.0,1.2
Codemasters,2014.0,1.19
Sony Computer Entertainment America,2014.0,1.1800000000000002
LEGO Media,1999.0,1.18
Mastiff,2010.0,1.17
Zoo Digital Publishing,2007.0,1.17
Infogrames,1999.0,1.1600000000000001
Play It,2002.0,1.1500000000000001
Success,1998.0,1.15
Enix Corporation,1993.0,1.15
Tecmo Koei,1993.0,1.15
Little Orbit,2014.0,1.1400000000000001
Spike,2009.0,1.1400000000000001
SquareSoft,1991.0,1.1400000000000001
Zoo Digital Publishing,2009.0,1.14
Tigervision,1981.0,1.14
Spike,2006.0,1.14
Trion Worlds,2013.0,1.14
Empire Interactive,2000.0,1.14
Ubisoft Annecy,2010.0,1.1300000000000001
Activision,1987.0,1.12
Parker Bros.,1982.0,1.12
Crystal Dynamics,1995.0,1.12
Russel,2007.0,1.12
Ignition Entertainment,2005.0,1.11
RedOctane,2007.0,1.11
Atlus,1995.0,1.11
Storm City Games,2010.0,1.1099999999999999
SquareSoft,1989.0,1.1
Namco Bandai Games,1989.0,1.1
Zoo Games,2010.0,1.1
Hudson Soft,1996.0,1.1
Hudson Soft,1984.0,1.1
Taito,1997.0,1.09
Genki,2003.0,1.09
Midas Interactive Entertainment,2000.0,1.09
Majesco Entertainment,2001.0,1.0899999999999999
PQube,2009.0,1.0699999999999998
Microprose,1999.0,1.06
Nippon Ichi Software,2010.0,1.06
D3Publisher,1998.0,1.06
Banpresto,1996.0,1.06
Scholastic Inc.,2008.0,1.06
Acclaim Entertainment,2004.0,1.06
Marvelous Entertainment,2012.0,1.05
City Interactive,2011.0,1.05
Takara Tomy,2008.0,1.05
Namco Bandai Games,1992.0,1.04
Pinnacle,2008.0,1.04
SouthPeak Games,2007.0,1.04
Namco Bandai Games,1991.0,1.03
Hudson Soft,1985.0,1.03
Bethesda Softworks,2007.0,1.03
Tomy Corporation,2007.0,1.02
Hudson Soft,1993.0,1.02
PQube,2010.0,1.02
Banpresto,2002.0,1.02
Interplay,1996.0,1.02
Codemasters,2000.0,1.02
Brash Entertainment,2008.0,1.02
DTP Entertainment,2009.0,1.01
Deep Silver,2015.0,1.01
Interplay,2000.0,1.0
Empire Interactive,2001.0,1.0
Marvelous Interactive,2011.0,1.0
Sammy Corporation,2004.0,1.0
Capcom,1985.0,1.0
Microsoft Game Studios,2000.0,0.99
Mentor Interactive,2009.0,0.99
Titus,2001.0,0.99
GameMill Entertainment,2011.0,0.99
